School incident,BB/pellet gun,State Senate District,State,Defensive use,Latitude,Accidental shooting,Gang involvement,Domestic violence,Injury involvement,Kidnapping,ATF/LE confiscation,Stolen gun involvement,"Idiocy, not aggression",State House District,Suicide or suicide attempt,Gun found during commission of other crime,Address,No shooting,Child involvement,Drive-by,Home invasion,No injuries,Notes,Number Killed,Incident Date,Longitude,Car-jacking,Possession of gun by felon or prohibited person,ID,Self-inflicted,Congressional District,Armed robbery,Officer involvement,Location Description,Death involvement,"Brandishing, open carry, or lost and found",Perpetrator under influence,Number Injured,Lockdown alert,Mistaken ID,Pistol-whipping,City or County,Drug involvement
False,False,,New York,False,N/A,False,False,False,True,False,False,False,False,,False,False,230 Virginia Street,False,False,False,False,False,"near Whitney, clerk shot during ar",0,"January 14, 2016",N/A,False,False,0,False,,True,False,"United Grocery; 230 Virginia Street; Buffalo, New York",False,False,False,1,False,False,False,Buffalo,False
False,False,26,North Carolina,False,36.3592,False,False,False,True,False,False,False,False,91,False,False,600 block of Lindsey Street,False,False,False,False,False,,0,"January 14, 2016",-79.671,False,False,1,False,6,False,False,"600 block of Lindsey Street; Reidsville, North Carolina",False,False,False,1,False,False,False,Reidsville,False
False,False,38,North Carolina,False,35.2403,False,False,False,True,False,False,False,False,101,False,False,900 block of State Street,False,False,False,False,False,,1,"January 14, 2016",-80.8728,False,False,2,False,12,False,False,"900 block of State Street; Charlotte, North Carolina",True,False,False,1,False,False,False,Charlotte,False
False,False,9,Florida,False,30.3754,False,False,False,False,False,False,False,False,13,False,False,West 48th and Main Streets,False,False,False,False,False,,1,"January 14, 2016",-81.6512,False,False,3,False,5,False,False,"West 48th and Main Streets; Jacksonville, Florida",True,False,False,0,False,False,False,Jacksonville,False
False,False,19,North Carolina,False,35.0287,False,False,False,True,False,False,False,False,44,False,False,Ireland Drive,False,False,False,False,False,Female victim shot/wounded by son,0,"January 14, 2016",-78.9446,False,False,4,False,2,False,False,"Ireland Drive; Fayetteville, North Carolina",False,False,False,1,False,False,False,Fayetteville,False
False,False,3,Arizona,False,32.1201,False,False,False,True,False,False,False,False,3,False,False,7200 block of South Theodore Place,False,False,False,True,False,,0,"January 14, 2016",-110.971,False,False,5,False,3,False,False,"7200 block of South Theodore Place; Tucson, Arizona",False,False,False,1,False,False,False,Tucson,False
False,False,4,Nevada,False,36.2068,False,False,False,False,False,False,False,False,6,False,False,2600 Block of St. George Street,True,False,False,False,False,Suicidal man surrenders to police after 5 hours.,0,"January 14, 2016",-115.12,False,False,6,False,4,False,True,"2600 Block of St. George Street; North Las Vegas, Nevada",False,False,False,0,False,False,False,North Las Vegas,False
False,False,7,Texas,False,29.8377,False,False,False,False,False,False,False,False,138,False,False,N/A,False,False,False,False,False,1 killed,1,"January 14, 2016",-95.6684,False,False,7,False,7,False,False,"; Harris (county), Texas",True,False,False,0,False,False,False,Harris (county),False
False,False,,Illinois,False,N/A,False,False,False,True,False,False,False,False,,False,True,4800 block of South Laflin Street,False,False,True,False,False,"Back of the Yards - man wounded, left groin area, as he got out of SUV, by drive up shooter; stable",0,"January 14, 2016",N/A,False,False,8,False,,False,False,"4800 block of South Laflin Street; Chicago Heights, Illinois",False,False,False,1,False,False,False,Chicago Heights,False
False,False,,Maryland,False,N/A,False,False,False,True,False,False,False,False,,False,False,7400 block of Park Heights Avenue,False,False,True,False,False,,0,"January 14, 2016",N/A,False,False,9,False,,False,False,"7400 block of Park Heights Avenue; Baltimore, Maryland",False,False,False,1,False,False,False,Baltimore,False
False,False,30,Illinois,False,42.3703,False,False,False,False,False,False,False,False,60,False,True,2811 Grand Avenue,False,False,False,False,True,Armed robber fires gun into cooler during robbery;,0,"January 14, 2016",-87.8705,False,False,10,False,10,True,False,"Big Daddy’s Liquors; 2811 Grand Avenue; Waukegan, Illinois",False,False,False,0,False,False,False,Waukegan,False
False,False,20,Texas,False,27.702,False,False,False,False,False,False,False,False,34,False,False,4300 Block of Killarmet Drive,False,False,False,False,True,,0,"January 14, 2016",-97.4047,False,False,11,False,27,False,False,"4300 Block of Killarmet Drive; Corpus Christi, Texas",False,False,False,0,False,False,False,Corpus Christi,False
False,False,2,Tennessee,False,35.8352,False,False,False,True,False,False,False,False,12,False,False,180 Collier Drive,False,False,False,False,False,"near Texas Roadhouse, shots fired in officer-involved shooting near restaurant [no details]",0,"January 13, 2016",-83.5509,False,False,12,False,1,False,True,"Texas RoadHouse; 180 Collier Drive; Sevierville, Tennessee",False,False,False,1,False,False,False,Sevierville,False
False,False,4,Wisconsin,False,43.1116,False,False,False,False,False,False,False,False,12,False,False,7700 block of West Kathryn Avenue,False,False,False,False,False,"perp in minivan, vic found in street",1,"January 13, 2016",-88.0077,False,False,13,False,4,False,False,"7700 block of West Kathryn Avenue; Milwaukee, Wisconsin",True,False,False,0,False,False,False,Milwaukee,False
False,False,10,Ohio,False,39.9118,False,False,False,True,False,False,False,False,79,False,False,300 block of West Southern Avenue,False,False,False,False,False,"Man shot, leg, while outside; suspect sought; stable",0,"January 13, 2016",-83.8175,False,False,14,False,8,False,False,"300 block of West Southern Avenue; Springfield, Ohio",False,False,False,1,False,False,False,Springfield,False
False,False,9,Virginia,False,37.5724,False,False,False,False,False,False,False,False,71,False,False,2700 block of Byron Street,False,False,False,False,False,man found shot inside vehicle died,1,"January 13, 2016",-77.394,False,False,15,False,3,False,False,"Glenwood Farms apartment complex; 2700 block of Byron Street; Henrico (county), Virginia",True,False,False,0,False,False,False,Henrico (county),False
False,False,4,Ohio,False,39.4068,False,False,False,False,False,False,False,False,51,False,False,400 block of Millville Avenue,False,False,False,False,False,"Man shot, killed, unclear;",0,"January 13, 2016",-84.5824,False,False,16,False,8,False,False,"400 block of Millville Avenue; Hamilton, Ohio",True,False,False,0,False,False,False,Hamilton,False
False,False,4,Ohio,False,39.316,False,False,False,True,False,False,False,False,52,False,False,9300 block of North Pisgah Drive,False,False,False,False,False,Man wounded; suspect sought; unclear;,0,"January 13, 2016",-84.3679,False,False,17,False,8,False,False,"9300 block of North Pisgah Drive; West Chester, Ohio",False,False,False,1,False,False,False,West Chester,False
False,False,,Hawaii,False,N/A,False,False,False,False,False,False,True,False,,False,False,N/A,True,False,False,False,False,"gun stolen from officer car, local school on lockdown",0,"January 13, 2016",N/A,False,False,18,False,,False,True,"; Kalihi, Hawaii",False,False,False,0,True,False,False,Kalihi,False
True,False,23,New Hampshire,False,43.0218,True,False,False,True,False,False,False,False,N/A,False,False,233 Exeter Road,False,False,False,False,False,civilian student accidentally shot self in leg during firearms training,0,"January 13, 2016",-71.0358,False,False,19,True,1,False,False,"Sig Sauer Academy; 233 Exeter Road; Epping, New Hampshire",False,False,False,1,False,False,False,Epping,False
False,False,13,Texas,False,29.7325,False,False,False,True,False,False,False,False,147,False,False,3100 Block of Anita,False,False,False,False,False,1 inj.,0,"January 13, 2016",-95.3577,False,False,20,False,18,False,True,"3100 Block of Anita; Houston, Texas",False,False,False,1,False,False,False,Houston,False
False,False,6,Texas,False,29.6908,False,False,False,False,False,False,False,False,144,False,False,100 Block of West Southmore,False,False,False,False,True,Perp in armed robbery shoots at police and misses and is arrested,0,"January 13, 2016",-95.2113,False,False,21,False,29,False,True,"100 Block of West Southmore; Pasadena, Texas",False,False,False,0,False,False,False,Pasadena,False
True,False,41,Indiana,False,39.5625,False,False,False,False,False,False,False,False,58,False,False,900 Sawmill Rd,True,True,False,False,False,4th grader brings unloaded gun to school; arrested;,0,"January 13, 2016",-86.1018,False,False,22,False,9,False,True,"Break-O-Day Elementary School; 900 Sawmill Rd; Whiteland (New Whiteland), Indiana",False,True,False,0,False,False,False,Whiteland (New Whiteland),False
False,False,5,Louisiana,False,29.9556,False,False,False,True,False,False,False,False,98,False,False,1700 block of Eagle Street,False,False,False,False,False,2 inj.,0,"January 13, 2016",-90.1318,False,False,23,False,2,False,False,"1700 block of Eagle Street; New Orleans, Louisiana",False,False,False,2,False,False,False,New Orleans,False
False,False,5,Illinois,False,41.8774,False,False,False,True,False,False,False,False,10,False,False,300 block of South California,False,False,False,False,False,"East Garfield Park - man shot, buttocks, serious;",0,"January 13, 2016",-87.6962,False,False,24,False,7,False,False,"300 block of South California; Chicago, Illinois",False,False,False,1,False,False,False,Chicago,False
False,False,5,Illinois,False,41.8805,False,False,False,False,False,False,False,False,10,False,False,0 block of South Kenton,False,False,False,False,False,"Austin - man shot, head, killed; unclear",1,"January 13, 2016",-87.7406,False,False,25,False,7,False,False,"0 block of South Kenton; Chicago, Illinois",True,False,False,0,False,False,False,Chicago,False
False,False,,Pennsylvania,False,N/A,False,False,False,False,False,False,False,False,,False,False,2100 block of James Drive,False,False,False,False,True,A Pittsburgh firefighter has been placed on paid administrative leave after firing shots at his neighbor's house while holding his 18 month old son.,0,"January 13, 2016",N/A,False,False,26,False,,False,False,"2100 block of James Drive; Reserve Township, Pennsylvania",False,False,False,0,False,False,False,Reserve Township,False
False,False,17,Illinois,False,41.7443,False,False,False,True,False,False,False,False,33,False,True,9700 block of South Skyway,False,False,True,False,False,"Skyway bridge - car-to-car drive-by kills man, wounds woman, on a bridge; stable;",1,"January 13, 2016",-87.578,False,False,27,False,1,False,False,"9700 block of South Skyway; Chicago, Illinois",True,False,False,1,False,False,False,Chicago,False
True,False,24,South Carolina,False,33.5311,False,False,False,False,False,False,False,False,83,False,True,2000 Knobcone Avenue,True,False,False,False,False,"student with guns in truck on campus, left in vehicle after duck hunting, no charges, poss expulsion",0,"January 13, 2016",-81.9682,False,False,28,False,2,False,False,"North Augusta High School; 2000 Knobcone Avenue; North Augusta, South Carolina",False,False,False,0,False,False,False,North Augusta,False
False,False,41,Georgia,False,33.8115,False,False,False,True,False,False,False,False,87,False,False,4719 Central Drive,False,False,False,False,False,"Dekalb Co, found in diff areas of complex, 2 local schools on lockdown",1,"January 13, 2016",-84.1965,False,False,29,False,4,False,False,"Highland Forest Apartment; 4719 Central Drive; Stone Mountain, Georgia",True,False,False,2,True,False,False,Stone Mountain,False
False,False,42,Georgia,False,33.7507,False,False,False,True,False,False,False,False,85,False,False,3490 Memorial Drive,False,False,False,False,False,,0,"January 13, 2016",-84.2735,False,False,30,False,5,False,False,"Zaxby's; 3490 Memorial Drive; Decatur, Georgia",False,False,False,1,False,False,False,Decatur,False
False,False,43,Georgia,False,33.6802,False,False,False,True,False,False,False,False,90,False,False,N/A,False,False,False,False,False,"Dekalb Co, man shot in leg, Indian Creek Elementary and Clarkston High on lockdown, unrelated to stabbing SWAT",0,"January 13, 2016",-84.1531,False,False,31,False,4,False,False,"; Lithonia, Georgia",False,False,False,1,True,False,False,Lithonia,False
False,False,42,Georgia,False,33.7408,False,False,False,False,False,False,False,False,84,False,False,2800 block of Eastwood Drive,False,False,False,False,True,"Dekalb Co, near Welika",0,"January 13, 2016",-84.2756,False,False,32,False,5,False,False,"2800 block of Eastwood Drive; Decatur, Georgia",False,False,False,0,False,False,False,Decatur,False
False,False,2,Georgia,False,32.0588,False,False,False,False,False,False,False,False,163,False,False,Comet and Corvair Avenue,False,False,False,False,True,"shots fired into home, no inj",0,"January 13, 2016",-81.1368,False,False,33,False,1,False,False,"Comet and Corvair Avenue; Savannah, Georgia",False,False,False,0,False,False,False,Savannah,False
False,False,,California,False,N/A,False,True,False,True,False,False,False,False,,False,False,Herndon Road and Nadine Avenue,False,False,False,False,False,,0,"January 13, 2016",N/A,False,False,34,False,,False,False,"Summary Market; Herndon Road and Nadine Avenue; Ceres, California",False,False,False,1,False,False,False,Ceres,False
True,False,2,California,False,40.8742,True,False,False,True,False,False,False,False,2,False,False,Harpst and Rossow Streets,False,False,False,False,False,,0,"January 13, 2016",-124.08,False,False,35,True,2,False,True,"Harpst and Rossow Streets; Humboldt (county), California",False,False,False,1,False,False,False,Humboldt (county),False
False,False,28,California,False,33.9715,False,False,False,False,False,False,False,False,56,False,False,10592 Sunset Avenue,True,False,False,False,False,,0,"January 13, 2016",-116.498,False,False,36,False,36,False,True,"10592 Sunset Avenue; Desert Hot Springs, California",False,False,False,0,False,False,False,Desert Hot Springs,False
False,False,41,Maryland,False,39.3262,False,False,False,False,False,True,False,False,41,False,True,2800 block of Silverhill Avenue,True,False,False,False,False,,0,"January 13, 2016",-76.7101,False,False,37,False,7,False,False,"2800 block of Silverhill Avenue; Baltimore, Maryland",False,False,False,0,False,False,False,Baltimore,True
False,False,41,Maryland,False,39.3358,False,False,False,False,False,True,False,False,41,False,True,3900 block of Hillsdale Avenue,True,False,False,False,False,,0,"January 13, 2016",-76.692,False,False,38,False,7,False,False,"3900 block of Hillsdale Avenue; Baltimore, Maryland",False,False,False,0,False,False,False,Baltimore,True
False,False,41,Maryland,False,39.3468,False,False,False,False,False,False,False,False,41,False,True,5200 block of Cordelia Avenue,True,False,False,False,False,,0,"January 13, 2016",-76.6828,False,False,39,False,7,False,False,"5200 block of Cordelia Avenue; Baltimore, Maryland",False,False,False,0,False,False,False,Baltimore,False
False,False,2,Delaware,False,39.7445,False,False,False,False,False,False,False,False,2,False,False,1200 block of N. Locust St,False,False,False,False,False,,1,"January 13, 2016",-75.5373,False,False,40,False,1,False,False,"1200 block of N. Locust St; Wilmington, Delaware",True,False,False,0,False,False,False,Wilmington,False
False,False,62,New York,False,43.1669,False,False,False,False,False,False,False,False,144,False,False,Washburn Street and Ashley Place,False,False,False,False,True,"shots hit home, no inj",0,"January 13, 2016",-78.6859,False,False,41,False,27,False,False,"Washburn Street and Ashley Place; Lockport, New York",False,False,False,0,False,False,False,Lockport,False
False,False,19,New York,False,40.6647,False,False,False,True,False,False,False,False,60,False,False,Livonia and Pennsylvania Avenue,False,False,False,False,False,"Brownsville, shot in head, arm, weapon recovered",1,"January 13, 2016",-73.894,False,False,42,False,8,False,False,"Livonia and Pennsylvania Avenue; Brooklyn, New York",True,False,False,1,False,False,False,Brooklyn,False
False,False,2,Michigan,False,42.4012,False,False,False,False,False,False,False,False,5,False,False,11410 Charest,True,False,False,False,False,Lockdown lifted.  It has not been announced that a gunman has been found.,0,"January 13, 2016",-83.0574,False,False,43,False,14,False,False,"Hamtramck Public Schools; 11410 Charest; Hamtramck, Michigan",False,False,False,0,True,False,False,Hamtramck,False
False,False,6,New York,False,40.7047,False,False,False,False,False,False,False,False,18,False,False,Albemarle Avenue and Nostrand Place,False,False,False,False,True,"pw during ar, shots fired, no inj from gunshot",0,"January 13, 2016",-73.6143,False,False,44,False,4,True,False,"Albemarle Avenue and Nostrand Place; Hempstead, New York",False,False,False,1,False,False,True,Hempstead,False
False,False,30,North Carolina,False,36.4527,False,False,False,False,False,False,False,False,90,False,False,Haystack Road,False,False,False,False,False,,1,"January 13, 2016",-80.8232,False,False,45,False,6,False,False,"Haystack Road; Surry (county), North Carolina",True,False,False,0,False,False,False,Surry (county),False
False,False,4,Florida,False,30.2208,False,False,False,True,False,False,False,False,16,False,False,8200 block of West Princeton Square Boulevard,False,False,False,False,False,,0,"January 13, 2016",-81.5643,False,False,46,False,4,False,False,"8200 block of West Princeton Square Boulevard; Jacksonville, Florida",False,False,False,1,False,False,False,Jacksonville,False
False,False,10,New Jersey,False,40.0936,False,False,False,False,False,False,False,False,10,False,True,Garden State Parkway,True,False,False,False,False,,0,"January 13, 2016",-74.1445,False,False,47,False,3,False,False,"Garden State Parkway; Brick (Wall Township), New Jersey",False,False,True,0,False,False,False,Brick (Wall Township),True
False,False,27,Florida,False,26.7255,False,False,False,True,False,False,False,False,88,False,False,13th Street and North Sapodilla,False,False,False,False,False,,0,"January 13, 2016",-80.0583,False,False,48,False,20,False,False,"13th Street and North Sapodilla; West Palm Beach, Florida",False,False,False,1,False,False,False,West Palm Beach,False
False,False,13,North Carolina,False,34.5994,False,False,False,False,False,False,False,False,46,False,False,800 Old Whiteville Road,False,False,False,False,False,,1,"January 13, 2016",-78.9511,False,False,49,False,8,False,False,"800 Old Whiteville Road; Lumberton, North Carolina",True,False,False,0,False,False,False,Lumberton,False
False,False,27,Michigan,False,43.0657,False,False,False,True,False,False,False,False,34,False,False,5800 Block of Dupont Street,False,False,False,False,False,1 inj.,0,"January 13, 2016",-83.7141,False,False,50,False,5,False,False,"5800 Block of Dupont Street; Flint, Michigan",False,False,False,1,False,False,False,Flint,False
False,False,43,Illinois,False,41.5577,False,False,False,False,False,False,False,False,85,False,False,200 block of Barry Avenue,False,False,False,False,False,"Man shot, chest, killed, in drug deal gone bad. Victim's home the site of 2014 murder;",1,"January 13, 2016",-88.0675,False,False,51,False,3,False,False,"200 block of Barry Avenue; Lockport, Illinois",True,False,False,0,False,False,False,Lockport,True
False,False,3,Louisiana,False,29.9985,False,False,False,False,False,False,False,False,97,False,False,Franklin Avenue,False,False,False,False,True,,0,"January 13, 2016",-90.05,False,False,52,False,2,False,True,"Franklin Avenue; New Orleans, Louisiana",False,False,False,0,False,False,False,New Orleans,False
False,False,48,Illinois,False,39.8891,False,False,False,False,False,False,False,False,96,False,True,1400 block of East Wellington Way,False,False,False,False,False,"Man shot, chest, killed, in robbery attempt;",1,"January 13, 2016",-88.9379,False,False,53,False,13,True,False,"1400 block of East Wellington Way; Decatur, Illinois",True,False,False,0,False,False,False,Decatur,False
False,False,39,Louisiana,False,32.4542,False,False,False,False,False,False,False,False,3,False,False,3100 Block of Wagner Street,False,False,False,True,True,,0,"January 13, 2016",-93.7872,False,False,54,False,4,False,False,"3100 Block of Wagner Street; Shreveport, Louisiana",False,False,False,0,False,False,False,Shreveport,False
False,False,30,Texas,False,33.9009,False,False,False,False,False,False,False,False,69,False,False,800 Block of Forth Worth,True,False,False,False,False,,0,"January 13, 2016",-98.4767,False,False,55,False,13,False,False,"800 Block of Forth Worth; Wichita Falls, Texas",False,True,False,0,False,False,False,Wichita Falls,False
False,False,19,South Carolina,False,34.085,True,False,False,True,False,False,False,False,76,False,False,7800 block of Pinelake Road,False,False,False,False,False,,0,"January 13, 2016",-80.9562,False,False,56,True,6,False,False,"7800 block of Pinelake Road; Richland (county), South Carolina",False,False,False,1,False,False,False,Richland (county),False
False,False,3,Texas,False,31.3764,False,False,False,True,False,False,False,False,57,False,False,US 287,False,False,False,False,False,1 inj.,0,"January 13, 2016",-95.4757,False,False,57,False,8,False,False,"US 287; Houston (county), Texas",False,False,False,1,False,False,False,Houston (county),False
False,False,17,Texas,False,29.6936,False,False,False,False,False,False,False,False,149,False,False,15100 Paso Real,False,False,False,False,False,1 killed,1,"January 13, 2016",-95.6532,False,False,58,False,9,False,False,"15100 Paso Real; Harris (county), Texas",True,False,False,0,False,False,False,Harris (county),False
False,False,28,New Jersey,False,40.7266,False,False,False,False,False,False,False,False,28,False,False,800 block of South 14th Street,False,False,False,False,False,,1,"January 13, 2016",-74.2096,False,False,59,False,10,False,False,"800 block of South 14th Street; Newark, New Jersey",True,False,False,0,False,False,False,Newark,False
False,False,3,Illinois,False,41.7834,False,False,False,True,False,False,False,False,6,False,True,6100 block of South Stewart Avenue,False,False,True,False,False,"Man wounded, buttocks, neck, in drive-up shooting;",0,"January 13, 2016",-87.6354,False,False,60,False,7,False,False,"6100 block of South Stewart Avenue; Chicago (Englewood), Illinois",False,False,False,1,False,False,False,Chicago (Englewood),False
False,False,16,Illinois,False,41.7504,False,True,False,True,False,False,False,False,31,False,True,7900 block of South Laflin,False,False,False,False,False,"Auburn Gresham - man killed, woman seriously wounded; both shot, head; possible gang connection;",1,"January 13, 2016",-87.661,False,True,61,False,1,False,False,"7900 block of South Laflin; Chicago, Illinois",True,False,False,1,False,False,False,Chicago,False
True,False,27,Arkansas,False,33.659,True,False,False,True,False,False,False,True,7,False,False,401 Ouachita 88,False,False,False,False,False,17yo AD'd and shot 18yo friend in back after finding gun in 18yo's car. Non life-threatening inj.,0,"January 13, 2016",-92.7974,False,False,62,False,4,False,False,"Harmony Grove High School; 401 Ouachita 88; Ouachita (county), Arkansas",False,False,False,1,False,False,False,Ouachita (county),False
False,False,16,Mississippi,False,33.5071,False,False,False,True,False,False,False,False,41,False,False,22nd Street North,False,False,False,False,False,,0,"January 13, 2016",-88.4099,False,False,63,False,1,False,False,"22nd Street North; Columbus, Mississippi",False,False,False,1,False,False,False,Columbus,False
False,False,20,Michigan,False,42.1215,True,False,False,True,False,False,False,True,63,False,False,700 block of N. Grand Street,False,False,False,False,False,Man shot himself in truck in parking lot; non life-threatening inj. May be charged for carrying w/o permit.,0,"January 13, 2016",-85.6373,False,False,64,True,6,False,False,"700 block of N. Grand Street; Schoolcraft, Michigan",False,False,False,1,False,False,False,Schoolcraft,False
False,False,30,California,False,33.9757,False,False,False,True,False,False,False,False,62,False,False,7100 block of 10th Avenue,False,False,True,False,False,,0,"January 13, 2016",-118.328,False,False,65,False,37,False,False,"Hyde Park; 7100 block of 10th Avenue; Los Angeles, California",False,False,False,3,False,False,False,Los Angeles,False
False,False,14,California,False,35.3909,False,False,False,False,False,False,False,False,32,False,False,1029 Knotts Street,False,False,False,False,False,,1,"January 13, 2016",-118.982,False,False,66,False,21,False,False,"1029 Knotts Street; Bakersfield, California",True,False,False,0,False,False,False,Bakersfield,False
False,False,N/A,Pennsylvania,False,40.1526,False,False,False,True,False,False,False,False,N/A,False,False,Geoffrey Road and Margo Lane,False,False,False,False,False,,0,"January 13, 2016",-75.1336,False,False,67,False,13,False,False,"Geoffrey Road and Margo Lane; Willow Grove, Pennsylvania",False,False,False,1,False,False,False,Willow Grove,False
