School incident,BB/pellet gun,State Senate District,State,Defensive use,Latitude,Accidental shooting,Gang involvement,Domestic violence,Injury involvement,Kidnapping,ATF/LE confiscation,Stolen gun involvement,"Idiocy, not aggression",State House District,Suicide or suicide attempt,Gun found during commission of other crime,Address,No shooting,Child involvement,Drive-by,Home invasion,No injuries,Notes,Number Killed,Incident Date,Longitude,Car-jacking,Possession of gun by felon or prohibited person,ID,Self-inflicted,Congressional District,Armed robbery,Officer involvement,Location Description,Death involvement,"Brandishing, open carry, or lost and found",Perpetrator under influence,Number Injured,Lockdown alert,Mistaken ID,Pistol-whipping,City or County,Drug involvement
False,False,5,California,False,37.6429,False,False,False,False,False,False,False,False,21,False,False,15th and 16th Streets,False,False,False,False,False,,1,"January 12, 2016",-120.992,False,False,137,False,10,False,False,"15th and 16th Streets; Modesto, California",True,False,False,0,False,False,False,Modesto,False
False,False,35,California,False,33.8288,False,False,False,False,False,False,False,False,64,False,False,21900 block of Grace Avenue,False,False,False,False,False,,1,"January 12, 2016",-118.268,False,False,138,False,44,False,False,"21900 block of Grace Avenue; Carson, California",True,False,False,0,False,False,False,Carson,False
False,True,21,California,False,34.7056,False,False,False,True,False,False,False,False,36,False,False,1100 block of Avenue H-14,False,False,False,False,False,perp armed with BB gun,0,"January 12, 2016",-118.149,False,False,139,False,23,False,True,"1100 block of Avenue H-14; Lancaster, California",False,False,False,0,False,False,False,Lancaster,False
False,False,34,California,False,33.7534,False,True,False,True,False,False,False,False,69,False,False,1400 block of West 10th Street,False,False,False,False,False,,0,"January 12, 2016",-117.887,False,False,140,False,46,False,False,"1400 block of West 10th Street; Santa Ana, California",False,False,False,1,False,False,False,Santa Ana,False
False,False,N/A,Pennsylvania,False,39.9772,False,False,False,True,False,False,False,False,N/A,False,False,1500 block of North 20th Street,False,False,False,False,False,"critical, but stable condition.",0,"January 12, 2016",-75.1682,False,False,141,False,2,False,False,"1500 block of North 20th Street; Philadelphia, Pennsylvania",False,False,False,1,False,False,False,Philadelphia,False
False,False,37,California,False,33.6475,False,False,False,False,False,False,False,False,74,True,False,300 block of West Bay Street,False,False,False,False,False,,1,"January 12, 2016",-117.912,False,False,142,False,48,False,True,"300 block of West Bay Street; Costa Mesa, California",True,False,False,0,False,False,False,Costa Mesa,False
False,False,14,California,False,36.765,False,False,False,True,False,False,False,False,31,False,False,Blackstone and McKinley Avenues,False,False,True,False,False,,0,"January 12, 2016",-119.79,False,False,143,False,16,False,False,"Carl's Jr.; Blackstone and McKinley Avenues; Fresno, California",False,False,False,1,False,False,False,Fresno,False
False,False,2,California,False,40.0984,False,False,False,False,False,False,True,False,2,False,True,900 block of Redwood Drive,True,False,False,False,False,"stolen but not retrieved, Winchester 94, Beretta 21A, CZ 527 .223",0,"January 12, 2016",-123.795,False,False,144,False,2,False,False,"900 block of Redwood Drive; Garberville, California",False,False,False,0,False,False,False,Garberville,True
False,False,7,California,False,37.9683,False,False,False,True,False,False,False,False,11,False,False,4700 block of Shannondale Drive,False,False,False,False,False,,0,"January 12, 2016",-121.767,False,False,145,False,9,False,False,"4700 block of Shannondale Drive; Antioch, California",False,False,False,1,False,False,False,Antioch,False
False,False,53,New York,False,43.0125,False,False,False,False,False,True,False,False,128,False,True,100 block of Hall Avenue,True,False,False,False,False,"seen walking through yards on Belle Ave, down street on Ballytyne Road, LOCATION ARRESTED, no shots fired, Western Field 12ga shotgun",0,"January 12, 2016",-76.1419,False,False,146,False,24,False,False,"100 block of Hall Avenue; Syracuse, New York",False,True,False,0,False,False,False,Syracuse,False
False,False,15,North Carolina,False,35.8747,False,False,False,True,False,False,False,False,34,False,False,Hensley Drive and Woodbend Drive,False,False,False,False,False,,0,"January 12, 2016",-78.6411,False,False,147,False,13,False,False,"Center Point Apartments; Hensley Drive and Woodbend Drive; Raleigh, North Carolina",False,False,False,2,False,False,False,Raleigh,False
False,False,2,Louisiana,False,30.061,False,False,False,False,False,False,False,False,57,False,False,East 22nd Street,False,False,False,False,True,,0,"January 12, 2016",-90.5388,False,False,148,False,2,False,False,"East 22nd Street; Reserve, Louisiana",False,False,False,0,False,False,False,Reserve,False
False,False,4,Louisiana,False,30.0012,False,False,False,False,False,False,False,False,97,False,False,4300 Block of Sybil Street,False,False,False,False,False,"1 killed, perp and victim both drew guns after argument; perp not charged at this point",1,"January 12, 2016",-90.0753,False,False,149,False,2,False,False,"4300 Block of Sybil Street; New Orleans, Louisiana",True,False,False,0,False,False,False,New Orleans,False
False,False,35,New Jersey,False,40.9088,False,False,False,True,False,False,False,False,35,False,False,19th Avenue and East 33rd Street,False,False,False,False,False,,0,"January 12, 2016",-74.1438,False,False,150,False,9,False,False,"19th Avenue and East 33rd Street; Paterson, New Jersey",False,False,False,1,False,False,False,Paterson,False
False,False,14,Louisiana,False,30.4635,False,False,False,False,False,False,False,False,67,False,False,1700 Block of North 23rd Street,False,False,False,False,False,1 killed,1,"January 12, 2016",-91.165,False,False,151,False,2,False,False,"1700 Block of North 23rd Street; Baton Rouge, Louisiana",True,False,False,0,False,False,False,Baton Rouge,False
False,False,41,Maryland,False,39.3377,False,False,False,True,False,False,False,False,41,False,False,5600 block of Haddon Ave.,False,False,False,False,False,,0,"January 12, 2016",-76.7042,False,False,152,False,7,False,False,"5600 block of Haddon Ave.; Baltimore, Maryland",False,False,False,1,False,False,False,Baltimore,False
True,False,17,Delaware,False,39.1641,False,False,False,False,False,False,True,False,31,False,False,211 Delaware Avenue,False,False,False,False,True,"Gun stolen from younger boys father, fired by 13yo in restroom of school.",0,"January 12, 2016",-75.5209,False,True,153,False,1,False,False,"Central Middle School; 211 Delaware Avenue; Dover, Delaware",False,False,False,0,False,False,False,Dover,False
False,False,N/A,District of Columbia,False,38.8902,False,False,False,False,False,False,False,False,N/A,False,False,4500 block of Benning Road NE,True,False,False,False,False,,0,"January 12, 2016",-76.9375,True,False,154,False,1,False,False,"4500 block of Benning Road NE; Washington, District of Columbia",False,False,False,0,False,False,False,Washington,False
False,False,19,North Carolina,False,35.0183,False,False,False,True,False,False,False,False,44,False,False,2800 block of Owen Drive,False,False,False,False,False,,0,"January 12, 2016",-78.9042,False,False,155,False,2,False,False,"2800 block of Owen Drive; Fayetteville, North Carolina",False,False,False,1,False,False,False,Fayetteville,False
