ATF/LE Confiscation/Raid/Arrest,Accidental Shooting,Accidental Shooting - Death,Accidental Shooting - Injury,Accidental Shooting at a Business,Accidental/Negligent Discharge,Address,Armed robbery with injury/death and/or evidence of DGU found,BB/pellet gun,Bar/club incident - in or around establishment,Brandishing/flourishing/open carry/lost/found,Car-jacking,Child Involved Incident,Child injured (not child shooter),Child with gun - no shots fired,City or County,Concealed Carry License - Perpetrator,Concealed Carry License - Victim,Congressional District,Criminal act with stolen gun,Defensive Use,"Defensive Use - Crime occurs, victim shoots perpetrator","Defensive Use - Shots fired, no injury/death",Defensive Use - Stand Your Ground/Castle Doctrine established,Defensive Use - Victim stops crime,Defensive Use - WITHOUT a gun,Domestic Violence,"Drive-by (car to street, car to car)",Drug involvement,Gang involvement,"Gun at school, no death/injury - elementary/secondary school",Gun range/gun shop/gun show shooting,Gun(s) stolen from owner,Home Invasion,Home Invasion - No death or injury,Home Invasion - Resident injured,ID,"IDIOCY, NOT AGGRESSION",Incident Date,Institution/Group/Business,Kidnapping/abductions/hostage,LOCKDOWN/ALERT ONLY:  No GV Incident Occurred Onsite,Latitude,Location Description,Longitude,"Mistaken ID  (thought it was an intruder/threat, was friend/family)",Non-Shooting Incident,Notes,Number Injured,Number Killed,Officer Involved Incident,Officer Involved Incident - Weapon involved but no shots fired,Officer Involved Shooting - Officer shot,Officer Involved Shooting - Perpetrator killed,Officer Involved Shooting - Perpetrator shot,Officer Involved Shooting - Perpetrator suicide at standoff,Officer Involved Shooting - Perpetrator surrender at standoff,"Officer Involved Shooting - Shots fired, no injury",Pistol-whipping,Playing with gun,Possession (gun(s) found during commission of other crimes),Possession of gun by felon or prohibited person,School Incident,School Shooting - elementary/secondary school,School Shooting - university/college,Self-Inflicted (not suicide or suicide attempt - NO PERP),"Shot - Dead (murder, accidental, suicide)",Shot - Wounded/Injured,Shots Fired - No Injuries,"Shots fired, no action (reported, no evidence found)",State,State House District,State Senate District,Stolen/Illegally owned gun{s} recovered during arrest/warrant,Suicide,Suicide - Attempt,Under the influence of alcohol or drugs (only applies to the perpetrator)
False,False,False,False,False,False,2811 Grand Avenue,True,False,False,False,False,False,False,False,Waukegan,False,False,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,False,"January 14, 2016",False,False,False,42.3703,"Big Daddy’s Liquors; 2811 Grand Avenue; Waukegan, Illinois",-87.8705,False,False,Armed robber fires gun into cooler during robbery;,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,Illinois,60,30,False,False,False,False
False,False,False,False,False,False,4300 Block of Killarmet Drive,False,False,False,False,False,False,False,False,Corpus Christi,False,False,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,False,"January 14, 2016",False,False,False,27.702,"4300 Block of Killarmet Drive; Corpus Christi, Texas",-97.4047,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Texas,34,20,False,False,False,False
False,False,False,False,False,False,180 Collier Drive,False,False,False,False,False,False,False,False,Sevierville,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,False,"January 13, 2016",False,False,False,35.8352,"Texas RoadHouse; 180 Collier Drive; Sevierville, Tennessee",-83.5509,False,False,"near Texas Roadhouse, shots fired in officer-involved shooting near restaurant [no details]",1,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Tennessee,12,2,False,False,False,False
False,False,False,False,False,False,7700 block of West Kathryn Avenue,False,False,False,False,False,False,False,False,Milwaukee,False,False,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13,False,"January 13, 2016",False,False,False,43.1116,"7700 block of West Kathryn Avenue; Milwaukee, Wisconsin",-88.0077,False,False,"perp in minivan, vic found in street",0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Wisconsin,12,4,False,False,False,False
False,False,False,False,False,False,300 block of West Southern Avenue,False,False,False,False,False,False,False,False,Springfield,False,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,False,"January 13, 2016",False,False,False,39.9118,"300 block of West Southern Avenue; Springfield, Ohio",-83.8175,False,False,"Man shot, leg, while outside; suspect sought; stable",1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Ohio,79,10,False,False,False,False
False,False,False,False,False,False,2700 block of Byron Street,False,False,False,False,False,False,False,False,Henrico (county),False,False,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15,False,"January 13, 2016",False,False,False,37.5724,"Glenwood Farms apartment complex; 2700 block of Byron Street; Henrico (county), Virginia",-77.394,False,False,man found shot inside vehicle died,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Virginia,71,9,False,False,False,False
False,False,False,False,False,False,400 block of Millville Avenue,False,False,False,False,False,False,False,False,Hamilton,False,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16,False,"January 13, 2016",False,False,False,39.4068,"400 block of Millville Avenue; Hamilton, Ohio",-84.5824,False,False,"Man shot, killed, unclear;",0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Ohio,51,4,False,False,False,False
False,False,False,False,False,False,9300 block of North Pisgah Drive,False,False,False,False,False,False,False,False,West Chester,False,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17,False,"January 13, 2016",False,False,False,39.316,"9300 block of North Pisgah Drive; West Chester, Ohio",-84.3679,False,False,Man wounded; suspect sought; unclear;,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Ohio,52,4,False,False,False,False
False,False,False,False,False,False,N/A,False,False,False,False,False,False,False,False,Kalihi,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,18,False,"January 13, 2016",False,False,True,N/A,"; Kalihi, Hawaii",N/A,False,True,"gun stolen from officer car, local school on lockdown",0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Hawaii,,,False,False,False,False
False,True,False,True,True,True,233 Exeter Road,False,False,False,False,False,False,False,False,Epping,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,19,False,"January 13, 2016",False,False,False,43.0218,"Sig Sauer Academy; 233 Exeter Road; Epping, New Hampshire",-71.0358,False,False,civilian student accidentally shot self in leg during firearms training,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,New Hampshire,N/A,23,False,False,False,False
